Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecoms and Pay TV Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edition: Q4 (October - December) 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Relative volume of complaints per sector per 100,000 customers: Q4 2010 - Q4 2019, by quarter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,10,12,12,13,12,16,12,16,15,13,19,17,14,14,11,12,13,12,11,10,10,12,11,11,12,10,8,12,11,10,10,10,9,12,15,13,12,12,8,12,11,10,9,8,9,10,9,9,10,8,7,8,8,9,6,7,9,11,11,13,10,10,9,10,10,11,9,8,8,11,12,13,12,11,10,10,11,13,11,10,8,9,8,8,9,10,8,10,7,6,6,5,5,7,8,6,7,6,5,6,4,4,4,4,3,5,5,4,4,4,3
EE,,9,9,6,9,12,17,10,13,13,15,14,14,17,16,12,11,12,14,11,9,9,11,14,24,28,28,16,23,17,16,11,11,11,17,14,15,12,10,7,14,11,18,10,12,13,11,12,10,12,16,14,14,16,21,16,13,16,17,14,14,12,12,10,10,12,12,6,6,9,8,9,9,8,12,6,8,8,8,6,4,5,4,4,2,3,5,5,4,4,5,3,2,2,2,2,3,3,3,3,1,2,2,2,1,2,2,1,1,1,2,2
Plusnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,5,9,9,6,8,6,8,8,5,9,5,8,8,11,15,11,10,9,12,8,10,9,8,8,6,7,9,15,10,12,9,8,9,8,7,7,6,10,10,7,10,8,8,8,6,6,5,5,6,5,6,10,15,16,12,9,12,11,9,10,7,9,8,6,8,7,6
Post Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,4,3,2,3,2,3,3,1,2,2,3,5,5,4,4
Sky,,5,7,8,7,7,8,6,7,7,5,6,7,6,6,5,6,5,5,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,2,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,1,2,1,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,3,3,2,3,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,3,2,2,2,2,2,1,1,2,2
TalkTalk Group,,25,36,25,30,29,31,22,24,20,14,23,24,25,23,17,20,19,21,17,16,11,13,14,10,13,12,9,12,10,10,11,11,7,8,9,10,9,8,7,8,8,9,8,8,8,9,8,8,8,8,7,8,9,9,8,9,10,11,10,12,11,11,9,10,10,11,7,7,6,6,7,7,8,11,9,10,8,11,8,7,9,9,10,11,12,12,7,11,7,11,8,9,7,8,8,7,6,8,6,8,7,8,9,7,7,7,9,5,6,7,6
Virgin Media,,3,4,4,6,5,5,5,5,5,5,6,7,6,7,5,6,5,6,4,5,5,5,4,3,4,4,3,3,3,2,3,2,1,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,3,4,5,4,5,4,4,4,5,4,4,4,5,5,5,5,5,4,4,3,5,4,4,4,3,5,5,5,6,3,4,3,3,4,5,7,7,7,6,5,5,4
Vodafone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,10,7,8,10,9,10,12,12,9,9,8,9,9,10,9,9
Industry Average ,Total,10,14,11,13,12,14,11,12,12,10,13,13,12,12,9,10,10,11,9,8,7,8,8,7,9,8,6,8,7,7,7,6,5,7,8,8,7,6,5,7,6,6,6,5,5,6,6,5,6,5,5,6,5,6,5,5,6,7,7,8,7,6,6,6,6,6,5,5,5,6,7,8,7,7,6,6,6,8,6,6,6,6,6,6,7,7,5,6,5,5,5,4,4,5,6,5,5,6,4,5,4,4,5,4,4,5,5,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
