ID,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights,Nat weights
156538,2563-5000,Urban,3,Virgin,30,Cable,31.339,31.469,31.15,2.003,2.051,2.003,16.787,0,18.163,0,3.164,0.185,4.266,0.37,17.083,0.06%,18.732,0.00%,264.122,268.678,1,0.59
157394,1992-2563,Urban,3,Virgin,120,Cable,119.522,125.706,112.735,11.326,11.64,11.26,22.787,0,22.978,0,3.062,0.162,5.203,0.309,21.538,0.02%,23.484,0.03%,319.129,328.592,1,
157412,1992-2563,Urban,3,Virgin,120,Cable,120.769,125.269,116.523,11.299,11.561,11.27,34.533,0.001,33.822,0,3.809,2.895,4.125,2.911,22.536,0.15%,22.279,0.03%,359.842,372.815,1,
157416,1367-1635,Urban,3,Virgin,100,Cable,100.319,111.892,99.774,11.933,12.361,12.063,14.171,0.002,14.585,0,3.063,0.123,3.787,0.18,15.561,0.41%,16.974,0.00%,265.454,288.601,1,0.17
157418,385-582,Urban,3,Virgin,120,Cable,101.566,125.22,77.561,11.306,11.6,11.146,10.005,0,10.362,0,1.642,0.256,2.231,0.445,8.523,0.05%,9.801,0.04%,182.455,216.399,1,0.23
157420,385-582,Urban,3,Virgin,120,Cable,121.745,125.262,118.34,11.395,11.575,11.44,15.877,0,15.855,0,1.27,0.19,1.309,0.267,7.336,0.05%,7.436,0.00%,191.128,159.249,1,0.23
157422,385-582,Urban,3,Virgin,120,Cable,116.247,125.257,111.561,11.07,11.634,11.242,11.546,0,11.464,0,2.401,0.202,2.475,0.276,8.972,0.01%,9.45,0.00%,188.272,175.177,1,0.23
157424,763-946,Urban,3,Virgin,120,Cable,123.792,125.261,123.04,11.393,11.578,11.388,18.375,0,17.536,0,1.54,0.178,1.906,0.235,12.074,0.04%,12.809,0.00%,212.212,228.78,1,
157430,1992-2563,Urban,3,Virgin,120,Cable,117.6,125.252,116.145,10.666,11.531,10.689,19.793,0.001,20.697,0,4.032,0.214,5.02,0.291,14.132,0.05%,15.132,0.00%,257.728,272.462,1,
157434,1635-1992,Urban,3,Virgin,120,Cable,117.237,125.683,116.361,10.873,11.57,10.952,28.951,0,27.957,0,5.974,0.124,5.108,0.206,12.117,0.01%,11.986,0.01%,303.648,298.304,1,
158438,1367-1635,Urban,3,Virgin,60,Cable,61.609,62.887,59.094,2.99,3.056,2.991,13.764,0,14.422,0,2.679,0.744,3.024,1.032,13.882,0.05%,14.836,0.02%,247.002,264.046,1,
159992,946-1143,Urban,4,Karoo,20,ADSL2+,5.582,6.085,5.578,0.875,0.953,0.88,37.685,0,37.561,0,0.473,0.552,0.475,0.553,36.672,0.24%,36.75,0.01%,833.007,833.262,1.22,
160000,385-582,Urban,3,Virgin,60,Cable,60.738,62.173,61.04,3.184,3.652,3.198,12.261,0,11.755,0,1.369,0.234,1.592,0.315,19.692,0.02%,20.952,0.10%,331.929,376.936,1,
162006,1367-1635,Urban,3,Virgin,120,Cable,123.144,125.686,120.894,12.237,12.533,12.189,18.382,0,18.319,0,2.55,0.129,2.875,0.206,23.698,0.03%,23.992,0.01%,349.739,347.972,1,0.23
162012,2563-5000,Urban,3,FTTP,330,FTTx,185.764,294.129,147.682,19.715,20.811,19.72,11.08,0,11.134,0,0.337,0.245,0.41,0.304,10.686,0.01%,10.747,0.10%,176.751,212.786,,
162024,582-763,Urban,2,Sky,20,ADSL2+,15.48,15.784,15.453,1.162,1.261,1.17,,,,,0.536,0.344,0.539,0.348,15.367,0.47%,15.411,0.45%,,,0.62,0.23
168226,1367-1635,Urban,3,Plusnet,20,DSL,2.84,3.065,2.848,0.503,0.55,0.503,30.718,0.003,30.667,0.002,0.875,0.685,0.877,0.773,29.367,0.24%,29.643,0.07%,1345.957,1314.606,1.19,0.28
168228,385-582,Rural,1,Plusnet,8,DSL,6.568,6.725,6.569,0.684,0.747,0.682,22.608,0.002,21.861,0.002,0.477,0.455,0.489,0.864,21.415,0.04%,19.466,0.05%,640.44,629.442,,
168230,1992-2563,Rural,1,Plusnet,8,DSL,1.688,1.912,1.663,0.354,0.382,0.357,35.291,0,35.726,0,0.899,1.019,0.914,1.332,33.724,0.05%,34.424,0.03%,2124.366,2141.159,,
