unit_id,WT_national,WT_ISP,Valid_panel,Pack_number,Tech,Plusnet_upload,LLUvsNon,MarketClass,URBAN2,Nation,Dist_ADSL1,Dist_ADSL2,DL24hrmean,DL24hrmax,DLpeakmean,DLpeakmax,UL24hrmean,UL24hrmax,UL24hrmean_A,UL24hrmax_A,DNSFail24hr,DNSFailPeak,DNSRTT24hr,DNSRTTPeak,JitterUp24hr,JitterUpPeak,JitterDown24hr,JitterDownPeak,Latency24hr,LatencyPeak,PacketLoss24hr,PacketLossPeak,Web24hr,WebPeak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak
2756,0.44,1.62,Valid panelist,Sky 40,FTTC 38,#NULL!,Y,3,Semi-urban,England,#NULL!,#NULL!,36.44602522,37.379776,35.63664663,37.3736,9.5693075,10.804368,9.641512,10.664304,0.03,0.11,10.92779462,10.58372659,0.24295322,0.22994118,0.42200877,0.43882353,6.51678857,6.61192683,0.01,0.01,234.1411968,236.6691892,0.1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
184458,0,0.88,Valid panelist,Plusnet 20,ADSL2,#NULL!,Y,3,Urban,England,#NULL!,Distance band 3,15.78044228,16.619008,15.90697698,16.619008,1.225130782,1.349856,1.230448976,1.349856,0.01,0,12.46297236,12.45781067,0.52823295,0.515,0.38822443,0.3992381,8.45731392,8.50702381,0.07,0.43,278.0832454,326.2262195,0.133,0,1,0,0,418,0,1,0,0,392,0,1,0,0,1425,0.6316,0.3684,0,0,1603.692368,0,1,0,0,1150,0,1,0,0,1147.990632
256914,0,1.63,Valid panelist,EE 40,FTTC 38,#NULL!,N,3,Urban,England,#NULL!,#NULL!,35.12528381,35.538864,34.6880034,35.478632,9.281508136,9.32304,9.281166476,9.321872,2.64,2.22,11.9556131,11.51093488,0.74742165,0.7642,0.76485185,0.95825,7.78497866,7.97710256,0,0,255.001202,244.6936829,0,0,1,0,0,900,0,1,0,0,974,1,0,0,0,1605,1,0,0,0,1596.692425,0,1,0,0,2269,0,1,0,0,1991.0339
175522,0,0.9,Valid panelist,Plusnet 80,FTTC 76,20,Y,3,Urban,England,#NULL!,#NULL!,70.3358418,71.907072,69.45966168,71.907072,18.48302449,18.583304,18.48176098,18.56784,0.02,0,12.04426612,12.06837757,0.4927716,0.4559,0.53310185,0.5794,7.41947278,7.53690476,0.03,0,182.4347512,228.3752632,0.033,0,1,0,0,351,0,1,0,0,376,1,0,0,0,535,0.8537,0.1463,0,0,516.512625,0,1,0,0,583,0,1,0,0,1011.764275
814087,0.49,1,Valid panelist,BT 40,FTTC 38,#NULL!,Y,3,Urban,England,#NULL!,#NULL!,37.11524813,37.47088,37.00519933,37.47088,9.283493301,9.466088,9.276204889,9.466088,0.61,1.16,12.68475908,12.9352253,0.4624955,0.5473125,0.36036036,0.3864,8.14549062,8.14910256,0.03,0.01,176.3955851,160.3745429,0.1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
466148,0.88,1,Valid panelist,Virgin 152,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,144.0369711,158.864976,128.3368169,151.861768,7.078756389,8.014544,6.984600334,8.014544,0,0,12.76879376,13.76425926,1.88462891,2.396,0.21518359,0.31666667,10.61579506,11.621275,0.01,0,220.0279865,202.102381,0,0,1,0,0,389,0,1,0,0,372,1,0,0,0,1284,1,0,0,0,1488.867478,0,1,0,0,829,0,1,0,0,1154.83288
175730,0,0.71,Valid panelist,Plusnet 80,FTTC 76,20,Y,3,Urban,England,#NULL!,#NULL!,65.33769389,67.231224,65.0048019,67.208064,16.87258602,16.949296,16.8705792,16.949296,0.02,0,13.61706555,13.64655131,0.77516867,0.7766,0.85363964,0.88814286,9.46628409,9.52482927,0.02,0,167.7434508,177.6523846,0.033,0,1,0,0,577,0,1,0,0,538,1,0,0,0,535,1,0,0,0,534.6427632,0,1,0,0,712,0,1,0,0,745.577973
1470,2.27,0,Valid panelist,Virgin 60,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,62.32743645,62.599896,62.3858576,62.599896,2.978895518,3.312216,2.999391219,3.259784,0.02,0.21,13.60377214,13.78090532,2.50421937,2.85809524,0.11767806,0.15395238,10.75570158,10.98241463,0.02,0.02,214.7853668,206.8015526,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
34540,0,0.87,Valid panelist,BT 80,FTTC 76,#NULL!,Y,3,Urban,England,#NULL!,#NULL!,61.11438274,62.26172,60.3341844,62.248056,18.5661529,18.60856,18.55722095,18.601224,0.1,0.69,7.75332818,8.31939256,0.34395965,0.34290476,0.43536127,0.4857619,6.18680028,6.26669048,0.02,0,148.0333689,143.9204571,0.133,0,1,0,0,573,0,1,0,0,563,1,0,0,0,536,1,0,0,0,548.740025,0,1,0,0,891,0,1,0,0,1021.875868
2449,0.69,0.88,Valid panelist,BT 40,FTTC 38,#NULL!,Y,3,Urban,England,#NULL!,#NULL!,35.86235778,37.174336,32.93707794,37.152624,9.302335814,9.394504,9.291652114,9.377488,0,0,11.29009732,11.83247154,0.38188542,0.37705882,0.94173264,1.41383333,6.52160427,6.74176471,0.06,0,168.8498586,251.2172647,0.133,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
