Unit_id,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights
1468,582-763,Urban,1,Plusnet,8,ADSL1,6.617,6.789,6.618,0.987,1.128,0.99,30.111,0.008,34.678,0.022,0.528,0.469,0.635,0.679,27.092,0.01%,27.486,0.01%,701.709,684.375,
1470,1992-2563,Urban,3,Virgin,60,Cable,61.667,63.062,60.695,3.316,3.572,3.289,15.291,0.003,16.214,0.002,3.613,0.201,4.861,0.396,14.003,0.07%,16.088,0.01%,263.168,276.063,1
1472,2563-5000,Urban,1,Sky,20,ADSL2+,3.49,4.749,3.508,1.039,1.121,1.043,21.116,0.001,21.043,0,0.547,0.536,0.555,0.531,19.22,0.08%,19.467,0.05%,1781.384,1663.233,
1474,0-385,Urban,1,TalkTalk,20,ADSL2+,13.681,13.762,13.629,0.82,0.906,0.795,25.199,0,25.328,0,0.93,0.474,1.419,0.792,15.592,0.01%,17.047,0.06%,363.361,415.462,
1475,1367-1635,Urban,4,Karoo,20,ADSL2+,5.916,6.799,5.716,0.859,0.918,0.856,35.506,0.03,38.019,0.031,0.578,0.587,0.556,0.535,36.037,1.27%,36.394,0.85%,857.681,886.374,1.49
1479,2563-5000,Rural,1,Sky,8,ADSL1,2.375,2.857,2.35,0.709,0.8,0.708,21.104,0.001,18.077,0.004,1.169,0.693,0.856,0.68,19.484,0.13%,15.558,0.08%,2323.022,2226.836,
1480,1143-1367,Rural,1,BT,8,ADSL1,6.203,6.743,5.926,0.435,0.56,0.439,54.269,0.002,54.472,0.013,2.535,1.219,2.339,1.153,48.77,0.20%,50.163,1.60%,1348.97,1575.361,
1483,1635-1992,Urban,3,Virgin,60,Cable,60.608,62.673,60.315,2.998,3.229,2.999,19.064,0.002,20.3,0,4.161,0.219,6.735,0.303,14.121,0.04%,14.31,0.01%,268.094,266.769,1
1485,1635-1992,Urban,3,TalkTalk,20,ADSL2+,5.2,5.408,5.141,0.624,0.715,0.624,30.362,0,30.6,0.002,0.617,0.428,0.67,0.507,33.72,0.09%,34.016,0.32%,848.98,871.088,1.07
1486,1367-1635,Urban,3,Be,20,ADSL2+,4.709,5.337,4.769,1.027,1.1,1.021,27.953,0.001,26.62,0,1.172,0.647,0.982,0.774,24.896,0.67%,26.65,0.29%,1901.557,1727.022,1
1488,0-385,Urban,3,Sky,20,ADSL2+,18.527,18.994,18.459,1.144,1.239,1.12,17.094,0.001,17.211,0,0.523,0.383,0.608,0.408,15.641,0.18%,16.472,0.22%,1356.469,1276.507,0.76
1497,,,,Virgin,60,Cable,62.479,63.036,62.738,3.343,3.533,3.341,14.554,0,14.777,0,3.174,0.23,3.922,0.439,14.808,0.01%,15.653,0.02%,286.667,301.018,1
1500,582-763,Urban,3,TalkTalk,20,ADSL2+,15.829,16.066,15.814,0.852,0.907,0.853,23.803,0,23.868,0,0.888,0.446,0.911,0.479,27.297,0.01%,27.402,0.01%,478.794,467.435,2.02
1502,0-385,Urban,3,BT,20,ADSL1,17.331,17.964,17.293,0.947,1.02,0.94,16.883,0,16.995,0,0.57,0.317,0.543,0.314,17.616,0.01%,17.77,0.00%,347.51,357.993,0.86
1503,2563-5000,Urban,3,BT,20,ADSL1,3.43,3.951,3.47,0.926,1.073,0.925,38.412,0.001,38.572,0,0.763,0.494,0.79,0.648,38.359,0.05%,38.574,0.10%,1186.484,1175.696,1.12
1509,0-385,Urban,3,TalkTalk,20,ADSL2+,19.316,19.639,19.308,0.861,0.93,0.862,,,,,0.88,0.4,0.945,0.55,12.755,0.00%,12.957,0.01%,,,0.59
1523,763-946,Urban,3,TalkTalk,20,ADSL2+,14.52,14.98,14.347,0.886,0.985,0.88,34.836,0,34.985,0.002,2.865,9.592,2.876,9.631,24.58,0.43%,24.737,0.48%,629.904,589.656,2.02
1526,763-946,Urban,3,Sky,20,ADSL2+,3.524,3.565,3.522,0.69,0.788,0.689,54.72,0.001,54.333,0,0.772,1.385,0.785,1.389,52.659,0.10%,52.694,0.11%,1817.407,1590.781,0.89
